rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
501.0,0.9904810000000005,2004,4,-847.824663,3,611,0.0,,,
501.0,0.980962,4008,8,-861.1182182499999,6,634,0.0,,,
482.0833333333333,0.9725212500000003,5785,12,-883.6939905833333,9,642,0.0,,,
475.625,0.9638525000000006,7610,16,-915.794042625,11,640,0.0,,,
467.0,0.9556350000000005,9340,20,-903.0284625,14,640,0.0,,,
472.6666666666667,0.946116,11344,24,-902.4370794583334,17,648,0.0,,,
476.7142857142857,0.9365970000000005,13348,28,-899.2502343214285,20,649,0.0,,,
479.75,0.9270779999999998,15352,32,-893.9955334375,23,649,0.0,,,
482.1111111111111,0.9175590000000003,17356,36,-892.7157774166666,26,649,0.0,,,
482.275,0.9083677500000003,19291,40,-896.7901007,29,648,0.0,,,
483.22727272727275,0.8990055000000006,21262,44,-904.3674363181817,32,649,0.0,,,
484.7083333333333,0.8894865,23266,48,-902.3734010208333,35,650,0.0,,,
485.96153846153845,0.8799675000000005,25270,52,-898.9668825000001,38,648,0.0,,,
487.0357142857143,0.8704485,27274,56,-893.7376689107142,42,648,0.0,,,
487.96666666666664,0.8609295000000005,29278,60,-890.7639382833332,45,649,0.0,,,
488.78125,0.8514104999999998,31282,64,-891.8991519687501,48,648,0.0,,,
489.5,0.8418915000000003,33286,68,-891.5286745147059,51,649,0.0,,,
490.1388888888889,0.8323724999999997,35290,72,-888.949261013889,54,650,0.0,,,
490.7105263157895,0.8228535000000003,37294,76,-883.8611018421053,57,651,0.0,,,
491.225,0.8133344999999997,39298,80,-881.0615420124999,60,651,0.0,,,
490.9166666666667,0.8041242500000001,41237,84,-883.386442547619,63,652,0.0,,,
491.375,0.7946052499999996,43241,88,-881.5040455227271,66,652,0.0,,,
491.79347826086956,0.7850862500000001,45245,92,-880.8610060652172,69,650,0.0,,,
491.2604166666667,0.77598525,47161,96,-883.3713641354167,72,649,0.0,,,
491.65,0.7664662500000005,49165,100,-880.6918203000002,75,650,0.0,,,
488.26,0.7585575000000003,50830,104,-885.5714772300001,79,642,0.0,0.0001,0.2441253662109375,207
488.26,0.7490384999999997,52834,108,-884.18849794,84,626,0.0,0.0001,0.0013419485185295343,708
490.53,0.7395195000000003,54838,112,-879.2959355799999,89,613,0.0,0.0001,0.000752439140342176,1209
