time/fps,rollout/ep_len_mean,rollout/success_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
658,501.0,0.0,2004,3,4,0.9961924000000002,-807.04601725,,,
686,501.0,0.0,4008,5,8,0.9923848000000004,-813.9385562499999,,,
686,501.0,0.0,6012,8,12,0.9885771999999996,-814.8591574166667,,,
681,501.0,0.0,8016,11,16,0.9847695999999998,-807.7540263125,,,
701,501.0,0.0,10020,14,20,0.980962,-818.6951685,,,
729,501.0,0.0,12024,16,24,0.9771544000000002,-827.7947452916666,,,
737,501.0,0.0,14028,19,28,0.9733468000000004,-829.1427782499999,,,
732,501.0,0.0,16032,21,32,0.9695391999999995,-825.38579,,,
739,501.0,0.0,18036,24,36,0.9657315999999997,-828.6004775000001,,,
731,501.0,0.0,20040,27,40,0.9619239999999999,-826.6659800499999,,,
725,501.0,0.0,22044,30,44,0.9581164000000001,-821.6485106818183,,,
724,501.0,0.0,24048,33,48,0.9543088000000003,-822.3715432708333,,,
719,501.0,0.0,26052,36,52,0.9505012000000005,-819.3862072500001,,,
723,501.0,0.0,28056,38,56,0.9466935999999997,-821.356045767857,,,
722,501.0,0.0,30060,41,60,0.9428859999999999,-821.1048146833333,,,
726,501.0,0.0,32064,44,64,0.9390784000000001,-822.3572354062501,,,
722,501.0,0.0,34068,47,68,0.9352708000000003,-821.0691085294119,,,
727,501.0,0.0,36072,49,72,0.9314632000000005,-822.078365638889,,,
726,501.0,0.0,38076,52,76,0.9276555999999996,-822.1676010657894,,,
723,500.25,0.0,40020,55,80,0.923962,-825.368464075,,,
722,500.2857142857143,0.0,42024,58,84,0.9201544000000001,-823.7176834166665,,,
722,498.9318181818182,0.0,43906,60,88,0.9165785999999996,-827.5894160795455,,,
719,499.0217391304348,0.0,45910,63,92,0.9127709999999998,-826.5962547065217,,,
719,499.1041666666667,0.0,47914,66,96,0.9089634,-825.5579350104166,,,
719,495.86,0.0,49586,68,100,0.9057866000000004,-824.3518084199999,,,
706,494.66,0.0,51470,72,104,0.9022069999999998,-828.09540952,0.0001,367,0.006502838805317879
686,494.66,0.0,53474,77,108,0.8983994,-828.02759288,0.0001,868,0.00239947228692472
673,494.66,0.0,55478,82,112,0.8945918000000002,-828.92200262,0.0001,1369,0.0023205585312098265
656,494.66,0.0,57482,87,116,0.8907842000000004,-829.9535940800001,0.0001,1870,0.0012140762992203236
640,494.66,0.0,59486,92,120,0.8869765999999994,-827.2728993799999,0.0001,2371,0.0009427067125216126
624,494.66,0.0,61490,98,124,0.8831689999999996,-824.7288978999999,0.0001,2872,0.0022603149991482496
598,494.66,0.0,63494,106,128,0.8793613999999998,-822.03003163,0.0001,3373,0.0011183496098965406
587,493.4,0.0,65372,111,132,0.8757931999999996,-822.9734986799999,0.0001,3842,0.0008291603298857808
579,493.4,0.0,67376,116,136,0.8719855999999998,-818.7635601700001,0.0001,4343,0.00040632826858200133
571,493.4,0.0,69380,121,140,0.868178,-815.9404074300002,0.0001,4844,0.00036376301432028413
563,491.01,0.0,71145,126,144,0.8648244999999996,-817.0005115599998,0.0001,5286,0.0019085835665464401
557,491.01,0.0,73149,131,148,0.8610168999999998,-814.1960880600001,0.0001,5787,0.0714188888669014
550,491.01,0.0,75153,136,152,0.8572093,-812.66330437,0.0001,6288,0.0006985561922192574
545,489.52,0.0,77008,141,156,0.8536847999999999,-811.0524075899999,0.0001,6751,0.00039477297104895115
539,489.52,0.0,79012,146,160,0.8498772000000001,-809.0460042799999,0.0001,7252,0.00027812531334348023
534,489.52,0.0,81016,151,164,0.8460696000000003,-805.79806975,0.0001,7753,0.0015828219475224614
531,489.52,0.0,83020,156,168,0.8422620000000005,-803.7521093199998,0.0001,8254,0.00020948928431607783
527,489.52,0.0,85024,161,172,0.8384543999999996,-800.48120996,0.0001,8755,0.0015502512687817216
523,489.52,0.0,87028,166,176,0.8346467999999998,-798.2392398799999,0.0001,9256,0.00019450731633696705
521,490.12,0.0,89032,170,180,0.8308392,-794.6481804100002,0.0001,9757,0.16188769042491913
517,486.16,0.0,90640,175,184,0.8277839999999996,-793.0984717599998,0.0001,10159,0.0016226969892159104
515,487.38,0.0,92644,179,188,0.8239763999999998,-786.74546291,0.0001,10660,0.0004621454863809049
511,483.22,0.0,94232,184,192,0.8209591999999997,-787.8895598299999,0.0001,11057,0.0002261537592858076
506,482.02,0.0,96116,189,196,0.8173796,-787.47245526,0.0001,11528,0.0016545921098440886
503,484.19,0.0,98005,194,200,0.8137905000000002,-788.1651737300001,0.0001,12001,0.1957509070634842
500,482.71,0.0,99741,199,204,0.8104921000000003,-791.4336410200001,0.0001,12435,0.00019434743444435298
497,480.73,0.0,101547,204,208,0.8070606999999996,-789.79613067,0.0001,12886,0.002051214687526226
